"index","age","job","marital","education","credit_default","balance","housing_loan","personal_loan","contact","duration_sec","campaign","pdays","previous","poutcome","subscription","date","weekday"
42591,38,"blue-collar","married","secondary","no",863,"no","no","unknown",78,1,-1,0,"unknown","no","2010-01-06","Wednesday"
42592,29,"services","single","secondary","no",814,"no","no","unknown",54,1,-1,0,"unknown","no","2010-01-06","Wednesday"
42593,51,"technician","divorced","tertiary","no",363,"yes","no","unknown",7,1,-1,0,"unknown","no","2010-01-07","Thursday"
42594,33,"admin.","divorced","secondary","no",212,"yes","no","unknown",23,1,-1,0,"unknown","no","2010-01-07","Thursday"
42595,45,"unemployed","married","secondary","no",891,"yes","no","unknown",118,1,-1,0,"unknown","yes","2010-01-07","Thursday"
42596,40,"admin.","divorced","secondary","no",212,"no","no","unknown",176,1,-1,0,"unknown","no","2010-01-07","Thursday"
42597,50,"entrepreneur","divorced","tertiary","no",315,"no","no","cellular",249,1,119,1,"failure","no","2010-01-08","Friday"
42598,27,"management","single","secondary","no",843,"no","no","cellular",187,1,-1,0,"unknown","yes","2010-01-08","Friday"
42599,27,"services","single","secondary","no",302,"no","no","cellular",151,1,189,1,"success","no","2010-01-08","Friday"
42600,70,"retired","married","primary","no",2795,"no","no","cellular",301,2,-1,0,"unknown","yes","2010-01-08","Friday"
42601,27,"management","single","tertiary","no",8,"no","no","telephone",176,2,-1,0,"unknown","no","2010-01-08","Friday"
42602,25,"technician","single","secondary","no",139,"no","yes","cellular",202,1,91,1,"success","yes","2010-01-11","Monday"
42603,57,"retired","married","secondary","no",1044,"no","no","telephone",585,1,192,2,"success","yes","2010-01-11","Monday"
42604,55,"admin.","married","secondary","no",1633,"no","no","cellular",210,1,192,2,"success","yes","2010-01-11","Monday"
42605,33,"management","married","tertiary","no",6513,"yes","no","cellular",170,1,343,1,"other","yes","2010-01-11","Monday"
42606,29,"services","single","secondary","no",102,"no","no","cellular",111,1,210,4,"failure","no","2010-01-11","Monday"
42607,73,"retired","married","primary","no",1388,"no","no","telephone",767,2,83,1,"success","yes","2010-01-11","Monday"
42608,70,"retired","married","primary","no",3230,"no","no","cellular",300,2,48,1,"failure","no","2010-01-11","Monday"
42609,50,"management","single","tertiary","no",486,"no","yes","unknown",28,1,-1,0,"unknown","no","2010-01-11","Monday"
42610,36,"management","married","tertiary","no",93,"no","no","cellular",102,3,96,4,"other","no","2010-01-11","Monday"
42611,35,"technician","single","secondary","no",4645,"yes","no","cellular",502,3,270,40,"other","no","2010-01-11","Monday"
42612,67,"retired","married","primary","no",1430,"no","no","cellular",499,2,91,3,"failure","yes","2010-01-11","Monday"
42613,35,"management","married","tertiary","no",323,"no","no","cellular",261,2,-1,0,"unknown","yes","2010-01-11","Monday"
42614,65,"management","married","tertiary","no",1097,"no","no","cellular",131,1,196,1,"other","no","2010-01-12","Tuesday"
42615,29,"admin.","single","tertiary","no",14,"no","no","cellular",106,1,105,2,"failure","no","2010-01-12","Tuesday"
42616,65,"unknown","married","unknown","no",300,"no","no","cellular",105,1,-1,0,"unknown","no","2010-01-12","Tuesday"
42617,67,"retired","married","primary","no",585,"no","no","cellular",164,1,148,1,"failure","no","2010-01-12","Tuesday"
42618,53,"admin.","divorced","tertiary","no",0,"yes","yes","cellular",171,1,64,6,"other","no","2010-01-12","Tuesday"
42619,85,"retired","married","unknown","no",1934,"no","no","telephone",140,1,-1,0,"unknown","no","2010-01-12","Tuesday"
42620,34,"unemployed","single","secondary","no",15,"no","no","cellular",377,1,-1,0,"unknown","yes","2010-01-12","Tuesday"
42621,47,"services","divorced","tertiary","no",1639,"no","no","cellular",349,1,-1,0,"unknown","yes","2010-01-12","Tuesday"
