"index","age","job","marital","education","credit_default","balance","housing_loan","personal_loan","contact","duration_sec","campaign","pdays","previous","poutcome","subscription","date","weekday"
1609,34,"management","single","tertiary","no",1891,"yes","no","unknown",162,5,-1,0,"unknown","no","2008-05-09","Friday"
1610,29,"services","single","secondary","no",473,"yes","yes","unknown",180,2,-1,0,"unknown","no","2008-05-09","Friday"
1611,49,"blue-collar","married","primary","no",216,"yes","no","unknown",144,2,-1,0,"unknown","no","2008-05-09","Friday"
1612,31,"blue-collar","married","secondary","no",-13,"yes","no","unknown",260,3,-1,0,"unknown","no","2008-05-09","Friday"
1613,47,"admin.","divorced","secondary","no",162,"yes","no","unknown",203,4,-1,0,"unknown","no","2008-05-09","Friday"
1614,34,"blue-collar","married","primary","no",365,"yes","no","unknown",85,2,-1,0,"unknown","no","2008-05-09","Friday"
1615,32,"management","single","tertiary","no",264,"yes","no","unknown",211,2,-1,0,"unknown","no","2008-05-09","Friday"
1616,32,"admin.","single","tertiary","no",490,"yes","no","unknown",94,2,-1,0,"unknown","no","2008-05-09","Friday"
1617,56,"technician","single","primary","no",230,"yes","no","unknown",122,4,-1,0,"unknown","no","2008-05-09","Friday"
1618,28,"technician","single","secondary","no",-9,"yes","yes","unknown",175,5,-1,0,"unknown","no","2008-05-09","Friday"
1619,35,"technician","single","secondary","no",317,"yes","no","unknown",292,2,-1,0,"unknown","no","2008-05-09","Friday"
1620,52,"self-employed","single","tertiary","no",458,"yes","yes","unknown",132,5,-1,0,"unknown","no","2008-05-09","Friday"
1621,35,"technician","married","secondary","no",19,"yes","no","unknown",130,2,-1,0,"unknown","no","2008-05-09","Friday"
1622,32,"blue-collar","married","secondary","no",536,"yes","no","unknown",208,2,-1,0,"unknown","no","2008-05-09","Friday"
1623,42,"management","divorced","secondary","no",117,"yes","no","unknown",105,1,-1,0,"unknown","no","2008-05-09","Friday"
1624,51,"blue-collar","single","primary","no",368,"yes","no","unknown",205,1,-1,0,"unknown","no","2008-05-09","Friday"
1625,47,"blue-collar","married","secondary","no",-98,"yes","no","unknown",112,1,-1,0,"unknown","no","2008-05-09","Friday"
1626,34,"services","married","secondary","no",627,"yes","no","unknown",117,9,-1,0,"unknown","no","2008-05-09","Friday"
1627,45,"admin.","married","secondary","no",180,"yes","no","unknown",218,1,-1,0,"unknown","no","2008-05-09","Friday"
1628,31,"technician","divorced","secondary","no",26,"yes","no","unknown",62,1,-1,0,"unknown","no","2008-05-09","Friday"
1629,40,"blue-collar","married","primary","no",2171,"yes","no","unknown",97,1,-1,0,"unknown","no","2008-05-09","Friday"
1630,53,"entrepreneur","married","secondary","no",-118,"yes","no","unknown",101,3,-1,0,"unknown","no","2008-05-09","Friday"
1631,44,"technician","single","secondary","no",1059,"yes","no","unknown",286,1,-1,0,"unknown","no","2008-05-09","Friday"
1632,49,"blue-collar","married","primary","no",186,"yes","no","unknown",241,1,-1,0,"unknown","no","2008-05-09","Friday"
1633,47,"services","married","secondary","no",1306,"yes","no","unknown",252,4,-1,0,"unknown","no","2008-05-09","Friday"
1634,31,"blue-collar","married","primary","no",3007,"yes","no","unknown",283,1,-1,0,"unknown","no","2008-05-09","Friday"
1635,45,"admin.","single","secondary","no",-88,"yes","no","unknown",131,1,-1,0,"unknown","no","2008-05-09","Friday"
1636,30,"blue-collar","married","primary","no",265,"yes","yes","unknown",380,1,-1,0,"unknown","no","2008-05-09","Friday"
1637,40,"blue-collar","divorced","primary","no",21,"yes","no","unknown",584,1,-1,0,"unknown","no","2008-05-09","Friday"
1638,27,"admin.","single","unknown","no",230,"yes","no","unknown",371,1,-1,0,"unknown","no","2008-05-09","Friday"
1639,28,"admin.","married","secondary","no",252,"yes","no","unknown",448,1,-1,0,"unknown","no","2008-05-09","Friday"
1640,28,"admin.","single","tertiary","no",422,"yes","no","unknown",274,1,-1,0,"unknown","no","2008-05-09","Friday"
1641,44,"blue-collar","married","secondary","no",85,"yes","no","unknown",116,2,-1,0,"unknown","no","2008-05-09","Friday"
1642,35,"management","married","tertiary","no",4286,"yes","no","unknown",357,1,-1,0,"unknown","no","2008-05-09","Friday"
