"index","age","job","marital","education","credit_default","balance","housing_loan","personal_loan","contact","duration_sec","campaign","pdays","previous","poutcome","subscription","date","weekday"
24046,37,"management","divorced","tertiary","no",199,"yes","no","unknown",50,1,-1,0,"unknown","no","2008-10-18","Saturday"
24047,50,"blue-collar","married","primary","no",12519,"yes","no","unknown",37,1,-1,0,"unknown","no","2008-10-18","Saturday"
24048,32,"management","married","tertiary","no",9214,"no","yes","unknown",71,1,-1,0,"unknown","no","2008-10-18","Saturday"
24049,31,"entrepreneur","married","tertiary","no",79,"yes","no","unknown",558,1,-1,0,"unknown","no","2008-10-18","Saturday"
24086,44,"blue-collar","married","secondary","no",1324,"yes","no","telephone",119,1,89,2,"other","no","2008-10-25","Saturday"
24139,31,"technician","single","tertiary","no",2807,"no","no","unknown",154,1,-1,0,"unknown","yes","2008-11-08","Saturday"
24140,28,"unemployed","single","tertiary","no",7,"no","no","cellular",20,1,-1,0,"unknown","no","2008-11-08","Saturday"
24141,29,"management","single","tertiary","no",572,"yes","no","telephone",319,1,-1,0,"unknown","yes","2008-11-08","Saturday"
24142,33,"management","single","tertiary","no",1956,"no","no","telephone",76,1,-1,0,"unknown","no","2008-11-08","Saturday"
27713,31,"management","single","tertiary","no",1899,"no","no","telephone",1914,1,-1,0,"unknown","no","2008-11-22","Saturday"
27726,32,"blue-collar","single","secondary","no",232,"no","no","unknown",232,1,-1,0,"unknown","no","2008-12-13","Saturday"
27728,28,"admin.","single","secondary","no",6100,"no","no","unknown",333,1,-1,0,"unknown","no","2008-12-27","Saturday"
43492,21,"student","single","secondary","no",546,"no","no","unknown",94,1,-1,0,"unknown","no","2010-04-17","Saturday"
43727,48,"technician","divorced","secondary","no",-63,"no","yes","unknown",7,1,670,5,"other","no","2010-05-15","Saturday"
43999,30,"blue-collar","single","primary","no",185,"no","no","unknown",11,1,-1,0,"unknown","no","2010-06-26","Saturday"
44124,53,"admin.","single","secondary","no",654,"no","no","unknown",67,1,-1,0,"unknown","yes","2010-07-10","Saturday"
44222,30,"self-employed","married","secondary","no",123,"no","yes","unknown",66,1,85,5,"other","no","2010-07-17","Saturday"
44223,32,"services","married","primary","no",164,"yes","no","unknown",19,1,-1,0,"unknown","no","2010-07-17","Saturday"
44276,30,"services","single","secondary","no",268,"no","no","unknown",86,1,-1,0,"unknown","no","2010-07-24","Saturday"
44277,25,"student","married","secondary","no",37,"no","no","unknown",11,1,-1,0,"unknown","no","2010-07-24","Saturday"
44358,31,"services","single","tertiary","no",1626,"no","no","unknown",15,1,-1,0,"unknown","no","2010-07-31","Saturday"
44591,26,"student","single","secondary","no",963,"no","no","unknown",11,1,304,1,"other","no","2010-08-21","Saturday"
44603,20,"student","single","primary","no",825,"no","no","unknown",27,1,-1,0,"unknown","no","2010-08-28","Saturday"
44604,30,"blue-collar","married","primary","no",124,"yes","no","unknown",5,1,775,2,"other","no","2010-08-28","Saturday"
44605,23,"management","single","tertiary","no",377,"no","no","unknown",7,1,-1,0,"unknown","no","2010-08-28","Saturday"
44606,27,"student","single","primary","yes",25,"no","no","unknown",8,1,-1,0,"unknown","no","2010-08-28","Saturday"
44681,55,"unknown","married","primary","no",159,"no","no","unknown",15,1,-1,0,"unknown","no","2010-09-04","Saturday"
44682,41,"housemaid","married","primary","no",379,"no","yes","unknown",9,1,-1,0,"unknown","no","2010-09-04","Saturday"
44833,33,"blue-collar","married","secondary","no",889,"yes","no","unknown",13,1,373,6,"success","no","2010-09-18","Saturday"
44963,37,"blue-collar","married","secondary","no",1403,"no","no","unknown",14,1,-1,0,"unknown","no","2010-10-09","Saturday"
24046,37,"management","divorced","tertiary","no",199,"yes","no","unknown",50,1,-1,0,"unknown","no","2008-10-18","Saturday"
24047,50,"blue-collar","married","primary","no",12519,"yes","no","unknown",37,1,-1,0,"unknown","no","2008-10-18","Saturday"
24048,32,"management","married","tertiary","no",9214,"no","yes","unknown",71,1,-1,0,"unknown","no","2008-10-18","Saturday"
24049,31,"entrepreneur","married","tertiary","no",79,"yes","no","unknown",558,1,-1,0,"unknown","no","2008-10-18","Saturday"
24086,44,"blue-collar","married","secondary","no",1324,"yes","no","telephone",119,1,89,2,"other","no","2008-10-25","Saturday"
24139,31,"technician","single","tertiary","no",2807,"no","no","unknown",154,1,-1,0,"unknown","yes","2008-11-08","Saturday"
24140,28,"unemployed","single","tertiary","no",7,"no","no","cellular",20,1,-1,0,"unknown","no","2008-11-08","Saturday"
24141,29,"management","single","tertiary","no",572,"yes","no","telephone",319,1,-1,0,"unknown","yes","2008-11-08","Saturday"
24142,33,"management","single","tertiary","no",1956,"no","no","telephone",76,1,-1,0,"unknown","no","2008-11-08","Saturday"
27713,31,"management","single","tertiary","no",1899,"no","no","telephone",1914,1,-1,0,"unknown","no","2008-11-22","Saturday"
27726,32,"blue-collar","single","secondary","no",232,"no","no","unknown",232,1,-1,0,"unknown","no","2008-12-13","Saturday"
27728,28,"admin.","single","secondary","no",6100,"no","no","unknown",333,1,-1,0,"unknown","no","2008-12-27","Saturday"
43492,21,"student","single","secondary","no",546,"no","no","unknown",94,1,-1,0,"unknown","no","2010-04-17","Saturday"
43727,48,"technician","divorced","secondary","no",-63,"no","yes","unknown",7,1,670,5,"other","no","2010-05-15","Saturday"
43999,30,"blue-collar","single","primary","no",185,"no","no","unknown",11,1,-1,0,"unknown","no","2010-06-26","Saturday"
44124,53,"admin.","single","secondary","no",654,"no","no","unknown",67,1,-1,0,"unknown","yes","2010-07-10","Saturday"
44222,30,"self-employed","married","secondary","no",123,"no","yes","unknown",66,1,85,5,"other","no","2010-07-17","Saturday"
44223,32,"services","married","primary","no",164,"yes","no","unknown",19,1,-1,0,"unknown","no","2010-07-17","Saturday"
44276,30,"services","single","secondary","no",268,"no","no","unknown",86,1,-1,0,"unknown","no","2010-07-24","Saturday"
44277,25,"student","married","secondary","no",37,"no","no","unknown",11,1,-1,0,"unknown","no","2010-07-24","Saturday"
44358,31,"services","single","tertiary","no",1626,"no","no","unknown",15,1,-1,0,"unknown","no","2010-07-31","Saturday"
44591,26,"student","single","secondary","no",963,"no","no","unknown",11,1,304,1,"other","no","2010-08-21","Saturday"
44603,20,"student","single","primary","no",825,"no","no","unknown",27,1,-1,0,"unknown","no","2010-08-28","Saturday"
44604,30,"blue-collar","married","primary","no",124,"yes","no","unknown",5,1,775,2,"other","no","2010-08-28","Saturday"
44605,23,"management","single","tertiary","no",377,"no","no","unknown",7,1,-1,0,"unknown","no","2010-08-28","Saturday"
44606,27,"student","single","primary","yes",25,"no","no","unknown",8,1,-1,0,"unknown","no","2010-08-28","Saturday"
44681,55,"unknown","married","primary","no",159,"no","no","unknown",15,1,-1,0,"unknown","no","2010-09-04","Saturday"
44682,41,"housemaid","married","primary","no",379,"no","yes","unknown",9,1,-1,0,"unknown","no","2010-09-04","Saturday"
44833,33,"blue-collar","married","secondary","no",889,"yes","no","unknown",13,1,373,6,"success","no","2010-09-18","Saturday"
44963,37,"blue-collar","married","secondary","no",1403,"no","no","unknown",14,1,-1,0,"unknown","no","2010-10-09","Saturday"
