"index","age","job","marital","education","credit_default","balance","housing_loan","personal_loan","contact","duration_sec","campaign","pdays","previous","poutcome","subscription","date","weekday"
1156,48,"technician","married","secondary","no",720,"yes","no","unknown",177,3,-1,0,"unknown","no","2008-05-08","Thursday"
1157,31,"blue-collar","married","tertiary","no",2827,"yes","no","unknown",238,3,-1,0,"unknown","no","2008-05-08","Thursday"
1158,59,"retired","married","unknown","no",0,"no","no","unknown",425,6,-1,0,"unknown","no","2008-05-08","Thursday"
1159,29,"admin.","single","secondary","no",1117,"yes","no","unknown",77,2,-1,0,"unknown","no","2008-05-08","Thursday"
1160,28,"blue-collar","married","secondary","no",597,"yes","no","unknown",223,2,-1,0,"unknown","no","2008-05-08","Thursday"
1161,50,"blue-collar","married","primary","no",362,"yes","no","unknown",201,2,-1,0,"unknown","no","2008-05-08","Thursday"
1162,31,"self-employed","single","tertiary","no",120,"yes","no","unknown",239,2,-1,0,"unknown","no","2008-05-08","Thursday"
1163,32,"admin.","single","secondary","no",89,"yes","yes","unknown",308,3,-1,0,"unknown","no","2008-05-08","Thursday"
1164,30,"services","married","secondary","no",442,"yes","no","unknown",137,2,-1,0,"unknown","no","2008-05-08","Thursday"
1165,32,"management","single","tertiary","no",111,"yes","no","unknown",162,2,-1,0,"unknown","no","2008-05-08","Thursday"
1166,29,"technician","single","secondary","no",247,"yes","no","unknown",134,1,-1,0,"unknown","no","2008-05-08","Thursday"
1167,30,"admin.","divorced","secondary","no",1,"yes","no","unknown",175,5,-1,0,"unknown","no","2008-05-08","Thursday"
1168,34,"management","married","primary","no",6,"yes","no","unknown",125,3,-1,0,"unknown","no","2008-05-08","Thursday"
1169,34,"blue-collar","single","secondary","yes",-947,"yes","no","unknown",211,3,-1,0,"unknown","no","2008-05-08","Thursday"
1170,41,"blue-collar","married","primary","no",191,"yes","no","unknown",67,1,-1,0,"unknown","no","2008-05-08","Thursday"
1171,36,"blue-collar","married","secondary","no",-147,"yes","no","unknown",156,1,-1,0,"unknown","no","2008-05-08","Thursday"
1172,31,"technician","single","tertiary","no",703,"yes","no","unknown",943,2,-1,0,"unknown","yes","2008-05-08","Thursday"
1173,39,"blue-collar","married","primary","no",70,"no","no","unknown",813,1,-1,0,"unknown","yes","2008-05-08","Thursday"
1174,36,"technician","married","secondary","no",83,"yes","no","unknown",178,1,-1,0,"unknown","no","2008-05-08","Thursday"
1175,39,"blue-collar","married","secondary","no",125,"yes","no","unknown",142,1,-1,0,"unknown","no","2008-05-08","Thursday"
1176,37,"blue-collar","married","primary","no",190,"yes","yes","unknown",194,1,-1,0,"unknown","no","2008-05-08","Thursday"
1177,52,"blue-collar","married","secondary","no",46,"yes","no","unknown",132,1,-1,0,"unknown","no","2008-05-08","Thursday"
1178,25,"management","single","tertiary","no",1348,"yes","no","unknown",109,1,-1,0,"unknown","no","2008-05-08","Thursday"
1179,42,"technician","married","secondary","no",420,"yes","no","unknown",94,1,-1,0,"unknown","no","2008-05-08","Thursday"
1180,27,"services","divorced","secondary","no",96,"yes","no","unknown",31,1,-1,0,"unknown","no","2008-05-08","Thursday"
