"index","age","job","marital","education","credit_default","balance","housing_loan","personal_loan","contact","duration_sec","campaign","pdays","previous","poutcome","subscription","date","weekday"
361,42,"services","married","secondary","no",1263,"yes","no","unknown",114,2,-1,0,"unknown","no","2008-05-06","Tuesday"
362,27,"services","married","secondary","no",8,"yes","no","unknown",88,3,-1,0,"unknown","no","2008-05-06","Tuesday"
363,48,"admin.","married","secondary","no",126,"yes","yes","unknown",379,2,-1,0,"unknown","no","2008-05-06","Tuesday"
364,59,"admin.","married","secondary","no",230,"yes","no","unknown",190,3,-1,0,"unknown","no","2008-05-06","Tuesday"
365,46,"technician","married","tertiary","no",841,"yes","no","unknown",158,1,-1,0,"unknown","no","2008-05-06","Tuesday"
366,38,"admin.","divorced","secondary","no",308,"yes","no","unknown",102,1,-1,0,"unknown","no","2008-05-06","Tuesday"
367,43,"management","divorced","tertiary","no",1,"yes","no","unknown",306,1,-1,0,"unknown","no","2008-05-06","Tuesday"
368,38,"admin.","divorced","tertiary","no",86,"yes","no","unknown",218,1,-1,0,"unknown","no","2008-05-06","Tuesday"
369,23,"student","single","secondary","no",157,"yes","no","unknown",54,1,-1,0,"unknown","no","2008-05-06","Tuesday"
370,34,"services","married","secondary","no",22,"yes","no","unknown",344,1,-1,0,"unknown","no","2008-05-06","Tuesday"
371,38,"admin.","married","secondary","no",46,"yes","yes","unknown",195,1,-1,0,"unknown","no","2008-05-06","Tuesday"
372,37,"blue-collar","married","secondary","no",1293,"no","no","unknown",652,1,-1,0,"unknown","no","2008-05-06","Tuesday"
373,25,"admin.","single","secondary","no",122,"yes","no","unknown",286,1,-1,0,"unknown","no","2008-05-06","Tuesday"
374,48,"blue-collar","married","unknown","no",131,"yes","no","unknown",189,1,-1,0,"unknown","no","2008-05-06","Tuesday"
375,49,"blue-collar","single","secondary","no",143,"yes","no","unknown",83,1,-1,0,"unknown","no","2008-05-06","Tuesday"
376,38,"admin.","single","secondary","no",393,"no","no","unknown",184,2,-1,0,"unknown","no","2008-05-06","Tuesday"
377,43,"blue-collar","married","primary","no",98,"yes","no","unknown",235,1,-1,0,"unknown","no","2008-05-06","Tuesday"
378,33,"management","married","tertiary","no",0,"yes","no","unknown",290,1,-1,0,"unknown","no","2008-05-06","Tuesday"
379,55,"blue-collar","married","secondary","no",224,"yes","no","unknown",232,1,-1,0,"unknown","no","2008-05-06","Tuesday"
380,38,"blue-collar","married","secondary","no",757,"yes","no","unknown",133,1,-1,0,"unknown","no","2008-05-06","Tuesday"
381,49,"services","married","secondary","no",245,"yes","yes","unknown",318,1,-1,0,"unknown","no","2008-05-06","Tuesday"
382,40,"management","married","secondary","no",8486,"no","no","unknown",260,3,-1,0,"unknown","no","2008-05-06","Tuesday"
383,43,"admin.","married","unknown","no",350,"no","no","unknown",437,1,-1,0,"unknown","no","2008-05-06","Tuesday"
384,38,"blue-collar","married","secondary","no",20,"yes","no","unknown",402,1,-1,0,"unknown","no","2008-05-06","Tuesday"
385,58,"services","married","secondary","no",1667,"yes","yes","unknown",85,1,-1,0,"unknown","no","2008-05-06","Tuesday"
386,57,"technician","married","unknown","no",345,"yes","no","unknown",125,1,-1,0,"unknown","no","2008-05-06","Tuesday"
387,32,"unemployed","married","secondary","no",10,"yes","no","unknown",501,4,-1,0,"unknown","no","2008-05-06","Tuesday"
388,56,"management","married","tertiary","no",830,"yes","yes","unknown",1201,1,-1,0,"unknown","yes","2008-05-06","Tuesday"
389,58,"blue-collar","divorced","unknown","no",29,"yes","no","unknown",253,1,-1,0,"unknown","no","2008-05-06","Tuesday"
390,60,"retired","divorced","secondary","no",545,"yes","no","unknown",1030,1,-1,0,"unknown","yes","2008-05-06","Tuesday"
391,37,"technician","married","tertiary","no",8730,"yes","no","unknown",149,1,-1,0,"unknown","no","2008-05-06","Tuesday"
392,46,"technician","divorced","tertiary","no",477,"yes","no","unknown",114,1,-1,0,"unknown","no","2008-05-06","Tuesday"
393,27,"admin.","married","secondary","no",4,"yes","no","unknown",243,1,-1,0,"unknown","no","2008-05-06","Tuesday"
394,43,"blue-collar","married","secondary","no",1205,"yes","no","unknown",769,2,-1,0,"unknown","no","2008-05-06","Tuesday"
395,32,"technician","single","secondary","no",0,"yes","yes","unknown",135,3,-1,0,"unknown","no","2008-05-06","Tuesday"
