"index","age","job","marital","education","credit_default","balance","housing_loan","personal_loan","contact","duration_sec","campaign","pdays","previous","poutcome","subscription","date","weekday"
766,44,"admin.","divorced","secondary","no",161,"yes","no","unknown",89,2,-1,0,"unknown","no","2008-05-07","Wednesday"
767,46,"technician","married","secondary","yes",289,"no","no","unknown",51,3,-1,0,"unknown","no","2008-05-07","Wednesday"
768,29,"student","single","secondary","no",110,"yes","no","unknown",169,3,-1,0,"unknown","no","2008-05-07","Wednesday"
769,39,"blue-collar","married","primary","no",245,"yes","no","unknown",148,3,-1,0,"unknown","no","2008-05-07","Wednesday"
770,42,"services","married","secondary","no",0,"yes","no","unknown",132,3,-1,0,"unknown","no","2008-05-07","Wednesday"
771,50,"blue-collar","married","primary","no",156,"yes","no","unknown",117,3,-1,0,"unknown","no","2008-05-07","Wednesday"
772,42,"technician","single","secondary","no",0,"yes","no","unknown",275,4,-1,0,"unknown","no","2008-05-07","Wednesday"
773,39,"admin.","married","secondary","no",20,"yes","no","unknown",124,2,-1,0,"unknown","no","2008-05-07","Wednesday"
774,55,"technician","single","tertiary","no",92,"yes","no","unknown",118,3,-1,0,"unknown","no","2008-05-07","Wednesday"
775,46,"services","married","secondary","no",89,"yes","no","unknown",479,2,-1,0,"unknown","no","2008-05-07","Wednesday"
776,42,"blue-collar","married","secondary","no",166,"yes","no","unknown",285,3,-1,0,"unknown","no","2008-05-07","Wednesday"
777,45,"management","married","tertiary","no",103,"yes","no","unknown",35,4,-1,0,"unknown","no","2008-05-07","Wednesday"
778,43,"blue-collar","married","primary","no",-454,"yes","no","unknown",322,2,-1,0,"unknown","no","2008-05-07","Wednesday"
779,42,"admin.","married","secondary","no",445,"yes","no","unknown",202,2,-1,0,"unknown","no","2008-05-07","Wednesday"
780,30,"admin.","married","secondary","no",4,"no","no","unknown",172,8,-1,0,"unknown","no","2008-05-07","Wednesday"
781,47,"blue-collar","married","secondary","no",1001,"yes","no","unknown",201,4,-1,0,"unknown","no","2008-05-07","Wednesday"
782,51,"services","divorced","secondary","no",-69,"yes","no","unknown",216,3,-1,0,"unknown","no","2008-05-07","Wednesday"
783,38,"technician","single","secondary","no",42,"yes","no","unknown",195,2,-1,0,"unknown","no","2008-05-07","Wednesday"
784,57,"technician","married","unknown","no",1617,"yes","no","unknown",96,2,-1,0,"unknown","no","2008-05-07","Wednesday"
785,42,"management","divorced","tertiary","no",221,"yes","no","unknown",720,2,-1,0,"unknown","no","2008-05-07","Wednesday"
786,32,"technician","divorced","secondary","no",210,"yes","yes","unknown",188,2,-1,0,"unknown","no","2008-05-07","Wednesday"
787,46,"management","married","tertiary","no",0,"no","no","unknown",70,2,-1,0,"unknown","no","2008-05-07","Wednesday"
788,29,"student","single","tertiary","no",185,"yes","no","unknown",141,3,-1,0,"unknown","no","2008-05-07","Wednesday"
789,59,"retired","married","secondary","no",836,"yes","no","unknown",106,1,-1,0,"unknown","no","2008-05-07","Wednesday"
790,32,"blue-collar","single","secondary","no",301,"yes","no","unknown",395,2,-1,0,"unknown","no","2008-05-07","Wednesday"
791,44,"blue-collar","married","primary","no",503,"yes","no","unknown",629,2,-1,0,"unknown","no","2008-05-07","Wednesday"
792,40,"retired","married","primary","no",407,"yes","no","unknown",502,1,-1,0,"unknown","no","2008-05-07","Wednesday"
793,31,"blue-collar","single","secondary","no",53,"yes","no","unknown",446,1,-1,0,"unknown","no","2008-05-07","Wednesday"
794,46,"self-employed","married","tertiary","no",2303,"yes","no","unknown",241,1,-1,0,"unknown","no","2008-05-07","Wednesday"
795,43,"management","married","tertiary","no",144,"yes","no","unknown",131,3,-1,0,"unknown","no","2008-05-07","Wednesday"
796,34,"services","married","secondary","no",205,"yes","no","unknown",312,1,-1,0,"unknown","no","2008-05-07","Wednesday"
797,39,"management","married","tertiary","no",305,"yes","no","unknown",275,6,-1,0,"unknown","no","2008-05-07","Wednesday"
798,30,"blue-collar","divorced","secondary","no",251,"yes","yes","unknown",120,2,-1,0,"unknown","no","2008-05-07","Wednesday"
799,56,"retired","married","secondary","no",0,"yes","no","unknown",333,4,-1,0,"unknown","no","2008-05-07","Wednesday"
800,29,"technician","married","secondary","no",8,"no","no","unknown",113,1,-1,0,"unknown","no","2008-05-07","Wednesday"
801,40,"blue-collar","divorced","secondary","no",139,"yes","no","unknown",91,1,-1,0,"unknown","no","2008-05-07","Wednesday"
802,36,"services","married","secondary","no",184,"yes","no","unknown",128,3,-1,0,"unknown","no","2008-05-07","Wednesday"
803,37,"blue-collar","single","secondary","no",238,"yes","no","unknown",200,2,-1,0,"unknown","no","2008-05-07","Wednesday"
804,35,"admin.","married","secondary","no",0,"no","no","unknown",326,1,-1,0,"unknown","no","2008-05-07","Wednesday"
805,35,"blue-collar","married","primary","yes",0,"yes","no","unknown",292,1,-1,0,"unknown","no","2008-05-07","Wednesday"
806,47,"services","married","primary","no",222,"yes","no","unknown",68,1,-1,0,"unknown","no","2008-05-07","Wednesday"
807,31,"services","married","secondary","no",414,"yes","no","unknown",215,1,-1,0,"unknown","no","2008-05-07","Wednesday"
808,56,"retired","single","primary","no",223,"yes","no","unknown",97,1,-1,0,"unknown","no","2008-05-07","Wednesday"
809,57,"technician","married","secondary","no",197,"no","no","unknown",32,1,-1,0,"unknown","no","2008-05-07","Wednesday"
810,36,"blue-collar","married","secondary","no",-251,"yes","no","unknown",162,1,-1,0,"unknown","no","2008-05-07","Wednesday"
811,45,"self-employed","divorced","secondary","no",-139,"yes","no","unknown",152,3,-1,0,"unknown","no","2008-05-07","Wednesday"
812,47,"blue-collar","married","unknown","no",733,"yes","no","unknown",268,1,-1,0,"unknown","no","2008-05-07","Wednesday"
813,29,"technician","single","tertiary","no",0,"yes","no","unknown",104,2,-1,0,"unknown","no","2008-05-07","Wednesday"
