"index","age","marital","education"
0,58,"married","tertiary"
1,44,"single","secondary"
2,33,"married","secondary"
3,47,"married","unknown"
4,33,"single","unknown"
5,35,"married","tertiary"
6,28,"single","tertiary"
7,42,"divorced","tertiary"
8,58,"married","primary"
9,43,"single","secondary"
10,41,"divorced","secondary"
11,29,"single","secondary"
12,53,"married","secondary"
13,58,"married","unknown"
14,57,"married","secondary"
15,51,"married","primary"
16,45,"single","unknown"
17,57,"married","primary"
18,60,"married","primary"
19,33,"married","secondary"
20,28,"married","secondary"
21,56,"married","tertiary"
22,32,"single","primary"
23,25,"married","secondary"
24,40,"married","primary"
25,44,"married","secondary"
26,39,"single","tertiary"
27,52,"married","secondary"
28,46,"single","secondary"
29,36,"single","secondary"
30,57,"married","secondary"
31,49,"married","tertiary"
32,60,"married","secondary"
33,59,"married","secondary"
34,51,"married","tertiary"
35,57,"divorced","secondary"
36,25,"married","secondary"
37,53,"married","secondary"
38,36,"divorced","secondary"
39,37,"single","secondary"
40,44,"divorced","secondary"
41,50,"married","secondary"
42,60,"married","unknown"
43,54,"married","secondary"
44,58,"married","unknown"
45,36,"single","primary"
46,58,"married","tertiary"
47,44,"married","secondary"
48,55,"divorced","secondary"
49,29,"single","tertiary"
50,54,"married","secondary"
51,48,"divorced","tertiary"
52,32,"married","tertiary"
53,42,"single","secondary"
54,24,"single","secondary"
55,38,"single","tertiary"
56,38,"single","tertiary"
57,47,"married","unknown"
58,40,"single","unknown"
59,46,"married","primary"
60,32,"married","tertiary"
61,53,"divorced","secondary"
62,57,"married","primary"
63,33,"married","secondary"
64,49,"married","unknown"
65,51,"married","tertiary"
66,60,"married","tertiary"
67,59,"divorced","tertiary"
68,55,"married","secondary"
69,35,"single","secondary"
70,57,"married","secondary"
71,31,"married","secondary"
72,54,"married","secondary"
73,55,"married","primary"
74,43,"married","secondary"
75,53,"married","secondary"
76,44,"married","secondary"
77,55,"divorced","secondary"
78,49,"divorced","secondary"
79,55,"divorced","secondary"
80,45,"single","secondary"
81,47,"divorced","secondary"
82,42,"single","secondary"
83,59,"married","secondary"
84,46,"married","tertiary"
85,51,"married","primary"
86,56,"married","secondary"
87,41,"married","secondary"
88,46,"divorced","secondary"
89,57,"married","secondary"
90,42,"single","secondary"
91,30,"married","secondary"
92,60,"married","secondary"
93,60,"married","unknown"
94,57,"divorced","secondary"
95,36,"married","tertiary"
96,55,"married","secondary"
97,60,"married","tertiary"
98,39,"married","secondary"
99,46,"married","tertiary"
100,44,"married","secondary"
101,53,"married","primary"
102,52,"married","primary"
103,59,"married","primary"
104,27,"single","tertiary"
105,44,"married","secondary"
106,47,"married","tertiary"
107,34,"married","secondary"
108,59,"single","secondary"
109,45,"married","tertiary"
110,29,"divorced","secondary"
111,46,"divorced","secondary"
112,56,"married","primary"
113,36,"married","primary"
114,59,"divorced","primary"
115,44,"married","secondary"
116,41,"married","secondary"
117,33,"single","tertiary"
118,59,"divorced","tertiary"
119,57,"married","primary"
120,56,"divorced","unknown"
121,51,"married","secondary"
122,34,"married","unknown"
123,43,"married","secondary"
124,52,"married","tertiary"
125,33,"single","secondary"
126,29,"single","secondary"
127,34,"married","secondary"
128,31,"married","secondary"
129,55,"married","secondary"
130,55,"married","unknown"
131,32,"single","secondary"
132,38,"single","secondary"
133,55,"single","secondary"
134,28,"single","tertiary"
135,23,"married","secondary"
136,32,"single","secondary"
137,43,"single","unknown"
138,32,"married","secondary"
139,46,"married","secondary"
140,53,"divorced","primary"
141,34,"single","secondary"
142,57,"married","tertiary"
143,37,"married","secondary"
144,59,"married","secondary"
145,33,"married","secondary"
146,56,"divorced","primary"
147,48,"married","secondary"
148,43,"married","primary"
149,54,"married","primary"
150,51,"married","unknown"
151,26,"single","secondary"
152,40,"married","tertiary"
153,39,"married","secondary"
154,50,"married","primary"
155,41,"married","secondary"
156,51,"married","unknown"
157,60,"divorced","secondary"
158,52,"married","secondary"
159,48,"married","secondary"
160,48,"married","unknown"
161,39,"single","tertiary"
162,47,"single","secondary"
163,40,"married","secondary"
164,45,"married","secondary"
165,26,"single","secondary"
166,52,"married","tertiary"
167,54,"married","secondary"
168,54,"married","tertiary"
169,50,"married","primary"
170,35,"married","secondary"
171,44,"married","secondary"
