"index","job","housing_loan","personal_loan","credit_default","balance"
0,"management","yes","no","no",2143
1,"technician","yes","no","no",29
2,"entrepreneur","yes","yes","no",2
3,"blue-collar","yes","no","no",1506
4,"unknown","no","no","no",1
5,"management","yes","no","no",231
6,"management","yes","yes","no",447
7,"entrepreneur","yes","no","yes",2
8,"retired","yes","no","no",121
9,"technician","yes","no","no",593
10,"admin.","yes","no","no",270
11,"admin.","yes","no","no",390
12,"technician","yes","no","no",6
13,"technician","yes","no","no",71
14,"services","yes","no","no",162
15,"retired","yes","no","no",229
16,"admin.","yes","no","no",13
17,"blue-collar","yes","no","no",52
18,"retired","yes","no","no",60
19,"services","yes","no","no",0
20,"blue-collar","yes","yes","no",723
21,"management","yes","no","no",779
22,"blue-collar","yes","yes","no",23
23,"services","yes","no","no",50
24,"retired","yes","yes","no",0
25,"admin.","yes","no","no",-372
26,"management","yes","no","no",255
27,"entrepreneur","yes","yes","no",113
28,"management","yes","no","no",-246
29,"technician","yes","yes","no",265
30,"technician","no","yes","no",839
31,"management","yes","no","no",378
32,"admin.","yes","yes","no",39
33,"blue-collar","yes","no","no",0
34,"management","yes","no","no",10635
35,"technician","yes","no","no",63
36,"blue-collar","yes","no","no",-7
37,"technician","no","no","no",-3
38,"admin.","yes","no","no",506
39,"admin.","yes","no","no",0
40,"services","yes","no","no",2586
41,"management","yes","no","no",49
42,"blue-collar","yes","no","no",104
43,"retired","yes","no","no",529
44,"retired","yes","no","no",96
45,"admin.","yes","no","no",-171
46,"self-employed","yes","no","no",-364
47,"technician","yes","no","no",0
48,"technician","no","no","no",0
49,"management","yes","no","no",0
50,"blue-collar","yes","no","no",1291
51,"management","yes","no","no",-244
52,"management","yes","no","no",0
53,"admin.","yes","no","no",-76
54,"technician","yes","yes","no",-103
55,"entrepreneur","no","yes","no",243
56,"management","yes","no","no",424
57,"blue-collar","yes","no","no",306
58,"blue-collar","yes","no","no",24
59,"services","yes","no","no",179
60,"admin.","yes","no","no",0
61,"technician","yes","no","no",989
62,"blue-collar","yes","no","no",249
63,"services","yes","no","no",790
64,"blue-collar","yes","no","no",154
65,"management","yes","no","no",6530
66,"retired","no","no","no",100
67,"management","yes","no","no",59
68,"technician","yes","no","no",1205
69,"blue-collar","yes","yes","no",12223
70,"blue-collar","yes","yes","no",5935
71,"services","yes","yes","no",25
72,"management","yes","yes","no",282
73,"blue-collar","yes","no","no",23
74,"technician","yes","no","no",1937
75,"technician","yes","no","no",384
76,"blue-collar","no","yes","no",582
77,"services","no","no","no",91
78,"services","yes","yes","no",0
79,"services","yes","no","yes",1
80,"admin.","yes","no","no",206
81,"services","no","no","no",164
82,"technician","yes","no","no",690
83,"admin.","yes","no","no",2343
84,"self-employed","yes","yes","no",137
85,"blue-collar","yes","no","no",173
86,"admin.","no","no","no",45
87,"technician","yes","no","no",1270
88,"management","yes","yes","no",16
89,"retired","yes","no","no",486
90,"management","no","no","no",50
91,"technician","yes","yes","no",152
92,"admin.","yes","no","no",290
93,"blue-collar","yes","no","no",54
94,"entrepreneur","no","no","no",-37
95,"management","yes","yes","no",101
96,"blue-collar","no","no","no",383
97,"retired","yes","no","no",81
98,"technician","yes","no","no",0
99,"management","yes","no","no",229
100,"blue-collar","yes","no","no",-674
101,"blue-collar","no","no","no",90
102,"blue-collar","yes","no","no",128
103,"blue-collar","yes","no","no",179
104,"technician","yes","no","no",0
105,"blue-collar","yes","no","no",54
106,"technician","yes","no","no",151
107,"admin.","no","yes","no",61
108,"retired","yes","no","no",30
109,"management","yes","no","no",523
110,"services","yes","no","no",31
111,"technician","no","no","no",79
112,"self-employed","yes","yes","no",-34
