"index","age","job","housing_loan","personal_loan","credit_default","balance"
0,58,"management","yes","no","no",2143
1,44,"technician","yes","no","no",29
2,33,"entrepreneur","yes","yes","no",2
3,47,"blue-collar","yes","no","no",1506
4,33,"unknown","no","no","no",1
5,35,"management","yes","no","no",231
6,28,"management","yes","yes","no",447
7,42,"entrepreneur","yes","no","yes",2
8,58,"retired","yes","no","no",121
9,43,"technician","yes","no","no",593
10,41,"admin.","yes","no","no",270
11,29,"admin.","yes","no","no",390
12,53,"technician","yes","no","no",6
13,58,"technician","yes","no","no",71
14,57,"services","yes","no","no",162
15,51,"retired","yes","no","no",229
16,45,"admin.","yes","no","no",13
17,57,"blue-collar","yes","no","no",52
18,60,"retired","yes","no","no",60
19,33,"services","yes","no","no",0
20,28,"blue-collar","yes","yes","no",723
21,56,"management","yes","no","no",779
22,32,"blue-collar","yes","yes","no",23
23,25,"services","yes","no","no",50
24,40,"retired","yes","yes","no",0
25,44,"admin.","yes","no","no",-372
26,39,"management","yes","no","no",255
27,52,"entrepreneur","yes","yes","no",113
28,46,"management","yes","no","no",-246
29,36,"technician","yes","yes","no",265
30,57,"technician","no","yes","no",839
31,49,"management","yes","no","no",378
32,60,"admin.","yes","yes","no",39
33,59,"blue-collar","yes","no","no",0
34,51,"management","yes","no","no",10635
35,57,"technician","yes","no","no",63
36,25,"blue-collar","yes","no","no",-7
37,53,"technician","no","no","no",-3
38,36,"admin.","yes","no","no",506
39,37,"admin.","yes","no","no",0
40,44,"services","yes","no","no",2586
41,50,"management","yes","no","no",49
42,60,"blue-collar","yes","no","no",104
43,54,"retired","yes","no","no",529
44,58,"retired","yes","no","no",96
45,36,"admin.","yes","no","no",-171
46,58,"self-employed","yes","no","no",-364
47,44,"technician","yes","no","no",0
48,55,"technician","no","no","no",0
49,29,"management","yes","no","no",0
50,54,"blue-collar","yes","no","no",1291
51,48,"management","yes","no","no",-244
52,32,"management","yes","no","no",0
53,42,"admin.","yes","no","no",-76
54,24,"technician","yes","yes","no",-103
55,38,"entrepreneur","no","yes","no",243
56,38,"management","yes","no","no",424
57,47,"blue-collar","yes","no","no",306
58,40,"blue-collar","yes","no","no",24
59,46,"services","yes","no","no",179
60,32,"admin.","yes","no","no",0
61,53,"technician","yes","no","no",989
62,57,"blue-collar","yes","no","no",249
63,33,"services","yes","no","no",790
64,49,"blue-collar","yes","no","no",154
65,51,"management","yes","no","no",6530
66,60,"retired","no","no","no",100
67,59,"management","yes","no","no",59
68,55,"technician","yes","no","no",1205
69,35,"blue-collar","yes","yes","no",12223
70,57,"blue-collar","yes","yes","no",5935
71,31,"services","yes","yes","no",25
72,54,"management","yes","yes","no",282
73,55,"blue-collar","yes","no","no",23
74,43,"technician","yes","no","no",1937
75,53,"technician","yes","no","no",384
76,44,"blue-collar","no","yes","no",582
77,55,"services","no","no","no",91
78,49,"services","yes","yes","no",0
79,55,"services","yes","no","yes",1
80,45,"admin.","yes","no","no",206
81,47,"services","no","no","no",164
82,42,"technician","yes","no","no",690
83,59,"admin.","yes","no","no",2343
84,46,"self-employed","yes","yes","no",137
85,51,"blue-collar","yes","no","no",173
86,56,"admin.","no","no","no",45
87,41,"technician","yes","no","no",1270
88,46,"management","yes","yes","no",16
89,57,"retired","yes","no","no",486
90,42,"management","no","no","no",50
91,30,"technician","yes","yes","no",152
92,60,"admin.","yes","no","no",290
93,60,"blue-collar","yes","no","no",54
94,57,"entrepreneur","no","no","no",-37
95,36,"management","yes","yes","no",101
96,55,"blue-collar","no","no","no",383
97,60,"retired","yes","no","no",81
98,39,"technician","yes","no","no",0
99,46,"management","yes","no","no",229
100,44,"blue-collar","yes","no","no",-674
101,53,"blue-collar","no","no","no",90
102,52,"blue-collar","yes","no","no",128
103,59,"blue-collar","yes","no","no",179
104,27,"technician","yes","no","no",0
105,44,"blue-collar","yes","no","no",54
106,47,"technician","yes","no","no",151
107,34,"admin.","no","yes","no",61
108,59,"retired","yes","no","no",30
109,45,"management","yes","no","no",523
110,29,"services","yes","no","no",31
111,46,"technician","no","no","no",79
112,56,"self-employed","yes","yes","no",-34
113,36,"blue-collar","yes","no","no",448
114,59,"retired","yes","no","no",81
115,44,"blue-collar","yes","no","no",144
116,41,"admin.","yes","no","no",351
117,33,"management","yes","no","no",-67
118,59,"management","no","no","no",262
119,57,"technician","no","no","no",0
120,56,"technician","yes","no","no",56
121,51,"blue-collar","yes","no","no",26
122,34,"admin.","yes","no","no",3
123,43,"services","yes","yes","no",41
124,52,"technician","no","yes","no",7
125,33,"technician","yes","no","no",105
126,29,"admin.","yes","yes","no",818
127,34,"services","yes","yes","no",-16
128,31,"blue-collar","yes","no","no",0
129,55,"services","yes","no","no",2476
130,55,"management","no","no","no",1185
131,32,"admin.","yes","no","no",217
132,38,"technician","yes","no","no",1685
133,55,"admin.","yes","yes","no",802
134,28,"unemployed","yes","no","no",0
135,23,"blue-collar","yes","no","no",94
136,32,"technician","yes","no","no",0
137,43,"services","no","no","no",0
138,32,"blue-collar","yes","no","no",517
139,46,"blue-collar","yes","no","no",265
140,53,"housemaid","yes","no","no",947
141,34,"self-employed","yes","no","no",3
142,57,"unemployed","no","no","no",42
